Ticker,symbol,company_name,sector,sub_industry,daily_mean,daily_vol,annual_return_est,annual_vol_est,min_daily_return,max_daily_return
AAPL,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",0.0012875413902377762,0.019434795372843396,0.3244604303399196,0.30851781202783474,-0.12864679377941612,0.15328858759749742
TT,TT,Trane Technologies,Industrials,Building Products,0.0012834630557146344,0.018426879572132047,0.32343269004008784,0.2925176447207861,-0.1094301857371528,0.12185395491323758
ETN,ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,0.001283044695749475,0.020408652624994555,0.32332726332886774,0.3239773166378469,-0.15564540139828198,0.23264680992046105
RCL,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0.0012828067562259107,0.0375816113600894,0.3232673025689295,0.5965895851672586,-0.3177822543159362,0.2878607397295725
FICO,FICO,Fair Isaac,Information Technology,Application Software,0.0012826991205794663,0.0264381557957867,0.32324017838602553,0.41969271215299536,-0.20711578865246716,0.310994532527866
PANW,PANW,Palo Alto Networks,Information Technology,Systems Software,0.0012791277377404659,0.024910907787612922,0.3223401899105974,0.39544840163331607,-0.2844109267085455,0.18600523706105343
GOOGL,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,0.0012763467364499158,0.019757380023769942,0.3216393775853788,0.3136386846065441,-0.11634158189536337,0.10224363178402762
GOOG,GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,0.0012747424958358857,0.01967900253128416,0.3212351089506432,0.3123944804855308,-0.11100810055635157,0.10448552179369508
GLW,GLW,Corning Inc.,Information Technology,Electronic Components,0.0012738294986436801,0.022370363705784723,0.3210050336582074,0.35511851462143,-0.16403513749065934,0.1557662427636033
SNPS,SNPS,Synopsys,Information Technology,Application Software,0.0012712476155044374,0.024529913614614096,0.3203543991071182,0.3894003066369984,-0.3583731788271417,0.12976431864104
MPC,MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,0.001269902124801197,0.027345353953145555,0.32001533544990163,0.43409403643836086,-0.270089643866706,0.20628539785836209
KKR,KKR,KKR & Co.,Financials,Asset Management & Custody Banks,0.0012673704230922848,0.025013876260887732,0.31937734661925576,0.397082975472307,-0.15177834666131584,0.18054023430094657
MCK,MCK,McKesson Corporation,Health Care,Health Care Distributors,0.0012643025419602244,0.01797557402588883,0.31860424057397657,0.28535339127680387,-0.11335862093070981,0.16520677348819124
PH,PH,Parker Hannifin,Industrials,Industrial Machinery & Supplies & Components,0.0012629653138952032,0.021663093146760886,0.3182672591015912,0.3438909425685418,-0.166883447988312,0.18419460740946092
IBKR,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,0.001247292224499285,0.022328790769338334,0.3143176405738198,0.354458564714783,-0.13014515801170368,0.16120235823198326
DECK,DECK,Deckers Brands,Consumer Discretionary,Footwear,0.0012445441988985205,0.028129825384877516,0.31362513812242715,0.44654713435234616,-0.20505580150976588,0.19459453969053064
