Ticker,symbol,company_name,sector,missing_ratio_after_clean,days_abs_return_gt_30pct
FIS,FIS,Fidelity National Information Services,Financials,0.0,0
FISV,FISV,Fiserv,Financials,0.0,1
FITB,FITB,Fifth Third Bancorp,Financials,0.0,0
FIX,FIX,Comfort Systems USA,Industrials,0.0,0
FOX,FOX,Fox Corporation (Class B),Communication Services,0.026058631921824105,0
FOXA,FOXA,Fox Corporation (Class A),Communication Services,0.025515743756786103,0
FRT,FRT,Federal Realty Investment Trust,Real Estate,0.0,1
FSLR,FSLR,First Solar,Information Technology,0.0,0
FTNT,FTNT,Fortinet,Information Technology,0.0,0
FTV,FTV,Fortive,Industrials,0.0,0
GD,GD,General Dynamics,Industrials,0.0,0
GDDY,GDDY,GoDaddy,Information Technology,0.0,0
GE,GE,GE Aerospace,Industrials,0.0,0
GEHC,GEHC,GE HealthCare,Health Care,0.5412595005428882,0
GEN,GEN,Gen Digital,Information Technology,0.0,0
GEV,GEV,GE Vernova,Industrials,0.7149837133550488,0
GILD,GILD,Gilead Sciences,Health Care,0.0,0
GIS,GIS,General Mills,Consumer Staples,0.0,0
GL,GL,Globe Life,Financials,0.0,1
GLW,GLW,Corning Inc.,Information Technology,0.0,0
GM,GM,General Motors,Consumer Discretionary,0.0,0
GNRC,GNRC,Generac,Industrials,0.0,0
GOOG,GOOG,Alphabet Inc. (Class C),Communication Services,0.0,0
GOOGL,GOOGL,Alphabet Inc. (Class A),Communication Services,0.0,0
GPC,GPC,Genuine Parts Company,Consumer Discretionary,0.0,0
GPN,GPN,Global Payments,Financials,0.0,0
GRMN,GRMN,Garmin,Consumer Discretionary,0.0,0
GS,GS,Goldman Sachs,Financials,0.0,0
GWW,GWW,W. W. Grainger,Industrials,0.0,0
HAL,HAL,Halliburton,Energy,0.0,1
HAS,HAS,Hasbro,Consumer Discretionary,0.0,0
HBAN,HBAN,Huntington Bancshares,Financials,0.0,0
HCA,HCA,HCA Healthcare,Health Care,0.0,0
HD,HD,Home Depot (The),Consumer Discretionary,0.0,0
HIG,HIG,Hartford (The),Financials,0.0,0
HII,HII,Huntington Ingalls Industries,Industrials,0.0,0
HLT,HLT,Hilton Worldwide,Consumer Discretionary,0.0,0
HON,HON,Honeywell,Industrials,0.0,0
HOOD,HOOD,Robinhood Markets,Financials,0.3517915309446254,1
HPE,HPE,Hewlett Packard Enterprise,Information Technology,0.0,0
HPQ,HPQ,HP Inc.,Information Technology,0.0,0
HRL,HRL,Hormel Foods,Consumer Staples,0.0,0
HSIC,HSIC,Henry Schein,Health Care,0.0,0
HST,HST,Host Hotels & Resorts,Real Estate,0.0,1
HSY,HSY,Hershey Company (The),Consumer Staples,0.0,0
HUBB,HUBB,Hubbell Incorporated,Industrials,0.0,0
HUM,HUM,Humana,Health Care,0.0,0
HWM,HWM,Howmet Aerospace,Industrials,0.0,0
IBKR,IBKR,Interactive Brokers,Financials,0.0,0
IBM,IBM,IBM,Information Technology,0.0,0
ICE,ICE,Intercontinental Exchange,Financials,0.0,0
IDXX,IDXX,Idexx Laboratories,Health Care,0.0,0
IEX,IEX,IDEX Corporation,Industrials,0.0,0
IFF,IFF,International Flavors & Fragrances,Materials,0.0,0
INCY,INCY,Incyte,Health Care,0.0,0
INTC,INTC,Intel,Information Technology,0.0,0
INTU,INTU,Intuit,Information Technology,0.0,0
INVH,INVH,Invitation Homes,Real Estate,0.0,0
IP,IP,International Paper,Materials,0.0,0
IQV,IQV,IQVIA,Health Care,0.0,0
IR,IR,Ingersoll Rand,Industrials,0.0,0
IRM,IRM,Iron Mountain,Real Estate,0.0,0
ISRG,ISRG,Intuitive Surgical,Health Care,0.0,0
IT,IT,Gartner,Information Technology,0.0,0
ITW,ITW,Illinois Tool Works,Industrials,0.0,0
IVZ,IVZ,Invesco,Financials,0.0,0
J,J,Jacobs Solutions,Industrials,0.0,0
JBHT,JBHT,J.B. Hunt,Industrials,0.0,0
JBL,JBL,Jabil,Information Technology,0.0,0
JCI,JCI,Johnson Controls,Industrials,0.0,0
JKHY,JKHY,Jack Henry & Associates,Financials,0.0,0
JNJ,JNJ,Johnson & Johnson,Health Care,0.0,0
JPM,JPM,JPMorgan Chase,Financials,0.0,0
KDP,KDP,Keurig Dr Pepper,Consumer Staples,0.0,0
KEY,KEY,KeyCorp,Financials,0.0,0
KEYS,KEYS,Keysight Technologies,Information Technology,0.0,0
KHC,KHC,Kraft Heinz,Consumer Staples,0.0,0
KIM,KIM,Kimco Realty,Real Estate,0.0,1
KKR,KKR,KKR & Co.,Financials,0.0,0
KLAC,KLAC,KLA Corporation,Information Technology,0.0,0
KMB,KMB,Kimberly-Clark,Consumer Staples,0.0,0
KMI,KMI,Kinder Morgan,Energy,0.0,0
KO,KO,Coca-Cola Company (The),Consumer Staples,0.0,0
KR,KR,Kroger,Consumer Staples,0.0,0
KVUE,KVUE,Kenvue,Consumer Staples,0.5928338762214984,0
L,L,Loews Corporation,Financials,0.0,0
LDOS,LDOS,Leidos,Industrials,0.0,0
LEN,LEN,Lennar,Consumer Discretionary,0.0,0
LH,LH,Labcorp,Health Care,0.0,0
LHX,LHX,L3Harris,Industrials,0.0,0
LII,LII,Lennox International,Industrials,0.0,0
LIN,LIN,Linde plc,Materials,0.0,0
LITE,LITE,Lumentum,Information Technology,0.0,0
LLY,LLY,Lilly (Eli),Health Care,0.0,0
LMT,LMT,Lockheed Martin,Industrials,0.0,0
LNT,LNT,Alliant Energy,Utilities,0.0,0
LOW,LOW,Lowe's,Consumer Discretionary,0.0,0
LRCX,LRCX,Lam Research,Information Technology,0.0,0
LULU,LULU,Lululemon Athletica,Consumer Discretionary,0.0,0
LUV,LUV,Southwest Airlines,Industrials,0.0,0
LVS,LVS,Las Vegas Sands,Consumer Discretionary,0.0,0
LYB,LYB,LyondellBasell,Materials,0.0,0
LYV,LYV,Live Nation Entertainment,Communication Services,0.0,0
MA,MA,Mastercard,Financials,0.0,0
MAA,MAA,Mid-America Apartment Communities,Real Estate,0.0,0
MAR,MAR,Marriott International,Consumer Discretionary,0.0,0
MAS,MAS,Masco,Industrials,0.0,0
MCD,MCD,McDonald's,Consumer Discretionary,0.0,0
MCHP,MCHP,Microchip Technology,Information Technology,0.0,0
MCK,MCK,McKesson Corporation,Health Care,0.0,0
MCO,MCO,Moody's Corporation,Financials,0.0,0
MDLZ,MDLZ,Mondelez International,Consumer Staples,0.0,0
MDT,MDT,Medtronic,Health Care,0.0,0
MET,MET,MetLife,Financials,0.0,0
META,META,Meta Platforms,Communication Services,0.0,0
MGM,MGM,MGM Resorts,Consumer Discretionary,0.0,2
MKC,MKC,McCormick & Company,Consumer Staples,0.0,0
MLM,MLM,Martin Marietta Materials,Materials,0.0,0
MMM,MMM,3M,Industrials,0.0,0
MNST,MNST,Monster Beverage,Consumer Staples,0.0,0
MO,MO,Altria,Consumer Staples,0.0,0
MOS,MOS,Mosaic Company (The),Materials,0.0,0
MPC,MPC,Marathon Petroleum,Energy,0.0,0
MPWR,MPWR,Monolithic Power Systems,Information Technology,0.0,0
MRK,MRK,Merck & Co.,Health Care,0.0,0
MRNA,MRNA,Moderna,Health Care,0.0,0
MRSH,MRSH,Marsh McLennan,Financials,0.0,0
MS,MS,Morgan Stanley,Financials,0.0,0
MSCI,MSCI,MSCI Inc.,Financials,0.0,0
MSFT,MSFT,Microsoft,Information Technology,0.0,0
MSI,MSI,Motorola Solutions,Information Technology,0.0,0
MTB,MTB,M&T Bank,Financials,0.0,0
MTD,MTD,Mettler Toledo,Health Care,0.0,0
MU,MU,Micron Technology,Information Technology,0.0,0
NCLH,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,0.0,2
NDAQ,NDAQ,"Nasdaq, Inc.",Financials,0.0,0
