ticker,cluster_id,symbol,company_name,sector,sub_industry,observations,annual_return,annual_volatility,risk_free_rate,excess_annual_return,sharpe_ratio,selected,mst_degree
HUM,22,HUM,Humana,Health Care,Managed Health Care,1842,-0.016728985978991195,0.37529998745103454,0.0368,-0.053528985978991195,-0.14262986349280155,False,1
LLY,23,LLY,Lilly (Eli),Health Care,Pharmaceuticals,1842,0.3586682297441641,0.3297897421349986,0.0368,0.3218682297441641,0.9759801128453782,True,1
ABBV,23,ABBV,AbbVie,Health Care,Biotechnology,1842,0.1740550665939089,0.25371973485042565,0.0368,0.1372550665939089,0.5409711888388355,False,2
GILD,23,GILD,Gilead Sciences,Health Care,Biotechnology,1842,0.14515677109469372,0.2589310763358035,0.0368,0.10835677109469372,0.4184772744472262,False,1
JNJ,23,JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,1842,0.1134589991478443,0.1910933059141078,0.0368,0.0766589991478443,0.40116004472862493,False,2
VRTX,23,VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,1842,0.1388470094576375,0.31377520817334614,0.0368,0.1020470094576375,0.32522330254103854,False,3
AMGN,23,AMGN,Amgen,Health Care,Biotechnology,1842,0.11017690482784159,0.2587912350985504,0.0368,0.0733769048278416,0.28353705564989057,False,5
MRK,23,MRK,Merck & Co.,Health Care,Pharmaceuticals,1842,0.09702368525563321,0.24035293425237236,0.0368,0.06022368525563321,0.2505635533136362,False,2
REGN,23,REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,1842,0.09408593381678942,0.321337004707939,0.0368,0.057285933816789425,0.17827369079031596,False,1
BMY,23,BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,1842,0.054402400398240625,0.24838505149001744,0.0368,0.017602400398240625,0.07086739033869784,False,3
INCY,23,INCY,Incyte,Health Care,Biotechnology,1842,0.05766643006328254,0.31928547076298397,0.0368,0.020866430063282537,0.0653535220798455,False,1
PFE,23,PFE,Pfizer,Health Care,Pharmaceuticals,1842,-0.01438658506163093,0.2604209433831904,0.0368,-0.05118658506163093,-0.1965532587227964,False,1
