ticker,cluster_id,symbol,company_name,sector,sub_industry
GM,17,GM,General Motors,Consumer Discretionary,Automobile Manufacturers
GS,17,GS,Goldman Sachs,Financials,Investment Banking & Brokerage
HBAN,17,HBAN,Huntington Bancshares,Financials,Regional Banks
HLT,17,HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
HST,17,HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs
HWM,17,HWM,Howmet Aerospace,Industrials,Aerospace & Defense
IBKR,17,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage
JPM,17,JPM,JPMorgan Chase,Financials,Diversified Banks
KEY,17,KEY,KeyCorp,Financials,Regional Banks
LUV,17,LUV,Southwest Airlines,Industrials,Passenger Airlines
LVS,17,LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming
LYV,17,LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment
MAR,17,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
MET,17,MET,MetLife,Financials,Life & Health Insurance
MGM,17,MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming
MS,17,MS,Morgan Stanley,Financials,Investment Banking & Brokerage
MTB,17,MTB,M&T Bank,Financials,Regional Banks
NCLH,17,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
NTRS,17,NTRS,Northern Trust,Financials,Asset Management & Custody Banks
NWS,17,NWS,News Corp (Class B),Communication Services,Publishing
NWSA,17,NWSA,News Corp (Class A),Communication Services,Publishing
OMC,17,OMC,Omnicom Group,Communication Services,Advertising
PFG,17,PFG,Principal Financial Group,Financials,Life & Health Insurance
PNC,17,PNC,PNC Financial Services,Financials,Diversified Banks
PRU,17,PRU,Prudential Financial,Financials,Life & Health Insurance
PSKY,17,PSKY,Paramount Skydance Corporation,Communication Services,Movies & Entertainment
RCL,17,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
RF,17,RF,Regions Financial Corporation,Financials,Regional Banks
