date,equal,inverse_volatility,risk_parity,markowitz_best_sharpe_default,cvar_bootstrap,cvar_montecarlo,benchmark_sp500
2025-09-26,0.19602842330406434,0.19984535730408637,0.18202464952366126,0.1425260492695113,0.19644963104457447,0.12122625393112041,0.15886640716100198
2025-09-29,0.20470028299887644,0.2071047250595608,0.1906408793931016,0.1480378454078337,0.20750823510546157,0.1299294392764554,0.16408730707281238
2025-09-30,0.21663943256819862,0.21820172125558313,0.20083006381885293,0.1771878201646444,0.21627013037414122,0.13488918546620932,0.1641477963149356
2025-10-01,0.23223946694761488,0.22871817967849073,0.2118007306461842,0.2067857206660162,0.23060038005763395,0.14375977117615268,0.16957153355255872
2025-10-02,0.22295132288573338,0.21763237661796153,0.2021395288225709,0.19533756150928916,0.21975757312159527,0.13573376365037215,0.16535764469762326
2025-10-03,0.23104264887170678,0.22369799751694974,0.20851398190759252,0.20712636916082094,0.22372028146708112,0.1398609615276385,0.17640289714254442
2025-10-06,0.22140008094716768,0.21516278832009683,0.19977695461399314,0.19722904097419014,0.2130655019417036,0.13149305059600347,0.18052938398572027
2025-10-07,0.2279298552174125,0.2237535155112247,0.2107853721245272,0.19955841848592315,0.22793514696982076,0.14796124359316942,0.1780106304231388
2025-10-08,0.23200594757728377,0.2249180993954536,0.21410526151728226,0.20854307624906943,0.23049167543805127,0.15263346890020557,0.17434154362074916
2025-10-09,0.23187917734311014,0.2270316325661268,0.2149571304318727,0.20766069122543063,0.2307801539485701,0.15666411559185733,0.18244046330629882
2025-10-10,0.20481458111802775,0.20336192852963353,0.19294599773585808,0.1727720318656527,0.21765481686252786,0.14339791737685714,0.13934303330680553
2025-10-13,0.20753649253966078,0.20248463489216872,0.19339469357601602,0.18228974969333933,0.2174176952904392,0.1427837962665648,0.14894237090268736
2025-10-14,0.21695315132077897,0.21383808611851185,0.2055767023494537,0.18952502900186752,0.22828741436161604,0.15656339732716962,0.1495247070717891
2025-10-15,0.21254797979084494,0.20785832487139078,0.20085720892138959,0.18397417220284407,0.2218452882552655,0.15429096924373797,0.1472099550758359
2025-10-16,0.20149864293390185,0.19583199552427177,0.19075012035964778,0.17666737263356214,0.2143936048080306,0.14668424033521776,0.13126952289618576
2025-10-17,0.19987077013101429,0.19426382555614485,0.1861098132899086,0.18038604563449412,0.19933620406508767,0.13457056168027703,0.1459522075036308
2025-10-20,0.1986766489288765,0.19295596276437,0.18551611812469204,0.17097120821185263,0.19542558989388015,0.1361477823563053,0.15278805627469194
2025-10-21,0.19462811258452217,0.1871678225153861,0.17934110345459264,0.1634179593804952,0.1785902278156839,0.12415000477135996,0.15302310033886024
2025-10-22,0.1867421222500032,0.18213145981294954,0.1751079723438902,0.1560710865198638,0.1870515890311275,0.1252683981621916,0.14233196268305615
