date,equal,inverse_volatility,risk_parity,markowitz_best_sharpe_default,cvar_bootstrap,cvar_montecarlo,benchmark_sp500
2025-11-24,0.8953047912078895,0.933108338835595,0.902033637015769,0.6885640004675243,0.9423028112852223,0.7860236289687309,0.532604708005685
2025-11-25,0.9249153397217086,0.9694053863666132,0.9389364184693832,0.6806716187343154,0.95814776234081,0.83817693890345,0.5520139121125791
2025-11-26,0.9813822926260249,1.0241416995148223,0.9952888852122224,0.7304712939749178,1.022130432268864,0.8657270844615631,0.5700442346250948
2025-11-28,1.0063788067755042,1.0379484099934098,1.008116432364813,0.7852507376507069,1.016881618771862,0.8437812601404706,0.58236471947457
2025-12-01,0.9128838147075979,0.926885091025007,0.9053618363132238,0.6877035756939706,0.8853705607907694,0.7261076363263711,0.5242381479346478
2025-12-02,0.9077086688306314,0.9213288830607186,0.8897090096999875,0.6949599468996136,0.8542370484801022,0.691159544455593,0.5575135250482052
2025-12-03,0.8671016927016376,0.8684499300380517,0.8461931435820476,0.6142747530071178,0.8128000451192728,0.662926257079214,0.5439796632594672
2025-12-04,0.9029183136121444,0.9003793979913646,0.8782434625077976,0.6461633775161807,0.8391855699564791,0.6929392076267258,0.5369501637931348
2025-12-05,0.9201652810850235,0.8987021962697623,0.8816749914936312,0.6443083280991152,0.8235107977011539,0.6426117967342435,0.5449253829643574
2025-12-08,0.9281380170904174,0.9001937816212215,0.8889502502480519,0.6351382989355349,0.8277885025906171,0.629099706787564,0.4949204610851011
2025-12-09,0.899394526057102,0.8818689012526952,0.8681075575024922,0.5970343965460637,0.8376132639769235,0.6432799950755421,0.5003336725504444
2025-12-10,0.9428655666956042,0.9156748437604062,0.9061344675854817,0.6473850808432008,0.8707361335699011,0.6687924443791943,0.5226674178609659
2025-12-11,1.11136990024343,1.1070440010300027,1.0993937038623471,0.8359801861459366,1.0919401597714158,0.8788194624403414,0.5665164666859085
2025-12-12,1.0959949534375462,1.0890395914841535,1.0896497058293575,0.8134188637249146,1.1076092615647464,0.8912181600783095,0.525219336612657
2025-12-15,1.0743434287110896,1.0786493457544122,1.079075554747747,0.7750017852728306,1.1493650692841932,0.9153414180672055,0.47430080428092175
2025-12-16,1.0899766803038922,1.0868810183747057,1.0813535718878637,0.768574762203707,1.1295273721432333,0.894363112840041,0.49059898833874466
2025-12-17,1.1022450596766136,1.105735722747379,1.1188865250482445,0.672644570614628,1.1829686451774994,0.9483801131789105,0.42887981005678427
2025-12-18,1.1492838270685497,1.1465137218104575,1.155252736172744,0.7397422616629613,1.2015866738563832,0.9550123352050155,0.45051138203770397
2025-12-19,1.2735940148365286,1.2513994135189257,1.2693905210285819,0.900630188363657,1.2809447362717115,1.0319458287120467,0.5170047118732471
2025-12-22,1.4732955477054632,1.4485206331614773,1.4845527618103738,1.1054395904488568,1.51821981732644,1.2850588702128085,0.714680229718141
2025-12-23,1.4964463211042442,1.499230683839849,1.523298101342438,1.0998865454184719,1.5616452044887275,1.3501336121970575,0.7435043033133066
2025-12-24,1.451772965046781,1.4573011926609514,1.4775543553226365,1.043840885349921,1.5277582367290305,1.3095458252536742,0.7039265545536284
2025-12-26,1.4466281660232123,1.460663820751524,1.4792953986330628,1.0234610142843379,1.5165038660556796,1.3007673911363,0.6640396942218075
2025-12-29,1.3619991516679486,1.3745442179643992,1.3830478349815343,0.9401461856813191,1.4016212912772719,1.1827697185212,0.5874835836636176
2025-12-30,1.3413630039876485,1.3574540096773335,1.364574619976903,0.931176124467219,1.3988419572150568,1.1823827494133017,0.5824252823905972
2025-12-31,1.3375728072811437,1.355888772556982,1.354872145761655,0.9474126116094681,1.375403020636281,1.1589125793667194,0.6029167249325088
2026-01-02,1.4779407600637764,1.4894602699640018,1.4969182908056842,1.0925212209879993,1.50116614682568,1.2719768460678673,0.6715803178461139
2026-01-05,1.4902229864176622,1.5042006621454107,1.5073908644957106,1.0955620687192547,1.5010796477977368,1.2908554764258862,0.7285897983601215
2026-01-06,1.5530771390678428,1.5562493102522112,1.5646219116185014,1.1532037302510374,1.5507085016802726,1.3543768067300708,0.7735634820987617
2026-01-07,1.4511098895799779,1.4572561455505928,1.4724666402466988,1.0179531530025123,1.503758151646184,1.3019883707415154,0.6891535078610714
2026-01-08,1.4167329841227432,1.4724715301336455,1.487069015107017,0.8587470601719787,1.6281900913509393,1.405393359185161,0.6602561161397477
2026-01-09,1.4705731059646872,1.5375398371795552,1.5395573482911298,0.9519309412261775,1.6600085382882483,1.453866491404804,0.7558018912556642
2026-01-12,1.5399410497418313,1.594135902651935,1.6073323473359122,1.0573088105374164,1.7240395172245035,1.5186359683452328,0.7560336365413795
2026-01-13,1.672913795719092,1.7145011047213388,1.7366937444579804,1.1221955327921342,1.7959793352712257,1.6116795413740943,0.8315742394121517
2026-01-14,1.707996346601479,1.7305633847780981,1.7741764528760817,1.1868716809722588,1.8588682844115259,1.6507930939670445,0.7940635447581863
2026-01-15,1.712163134791635,1.7398446091302804,1.7752051179992112,1.187317795468365,1.837389462076166,1.642063833848051,0.8018880270366334
2026-01-16,1.694414102016461,1.7189871448572327,1.7621097247096227,1.1844603049558633,1.8277267860657749,1.6435674200780848,0.7030941907597004
2026-01-20,1.6193610880733016,1.6198178930123541,1.6840080198597003,1.1496453800925897,1.7633452881676015,1.6205104677127236,0.5991564910723466
2026-01-21,1.7001757915030433,1.6829291530359378,1.764303836587134,1.235553480041318,1.8609084891599377,1.7093027969270735,0.6075839349255306
2026-01-22,1.6245846324154092,1.6082956734923548,1.6882300150654757,1.1478313436057608,1.8272610499280983,1.6638138148453236,0.5904569372491997
2026-01-23,1.6072433845360095,1.6213851996076314,1.6986940671080208,1.0910559897416834,1.8761335809239594,1.7245537244344509,0.5596011217092157
2026-01-26,1.5618311994619252,1.6005484301692119,1.6656803970369176,1.049325640310355,1.9263729054082899,1.7597668378450615,0.5581122086177672
2026-01-27,1.601415396833555,1.6329339195413646,1.6802380573232432,1.1131739893194306,1.8914117389442215,1.7038066969333165,0.5955610218100814
2026-01-28,1.8071299094388693,1.7632064638368519,1.7955112208304578,1.5881969992717762,1.8335996474915501,1.6421194261185716,0.6759481274562873
2026-01-29,1.7892510985090782,1.762920038936059,1.7876529370653251,1.4872886052849428,1.8439554294333083,1.6409641926738443,0.6199905310043478
2026-01-30,1.6974695730535316,1.6726472679377284,1.6913891012061455,1.362316735168498,1.735047405283993,1.5120137398885296,0.6221942625381405
2026-02-02,1.675705536995934,1.6531304941661555,1.6638814795487558,1.31958727397819,1.6796608472286687,1.4513418537682736,0.6229359723227946
2026-02-03,1.7586652887512242,1.738042227652397,1.7455746928824951,1.3922500417564863,1.7206196530990008,1.4927563537826711,0.6044903453561238
2026-02-04,1.822087208157806,1.790947028090478,1.8140592176437143,1.3824384461583872,1.7623683114112254,1.5431671181999813,0.6186355903209966
2026-02-05,1.7998921532754852,1.7839755976534304,1.7918567536037588,1.3624842042877379,1.7831813297007406,1.5646694102652385,0.512670503532859
2026-02-06,1.830281819191461,1.8028768972366669,1.8034179665219279,1.437401630417247,1.729776535447078,1.4864745705290798,0.5948566490375723
2026-02-09,1.8170222395501854,1.7679765920212,1.7928200317049685,1.4546629020094033,1.7065717747578617,1.4754664637616697,0.6005402049692538
2026-02-10,1.8051892905920546,1.7493888568446838,1.777310414480818,1.3766143258218142,1.6567165142437432,1.4568858836059386,0.6345123208033115
2026-02-11,1.8664301224949227,1.7900063555775647,1.8256693835715114,1.499419815527725,1.6732509599833671,1.4584635412887612,0.5986520644245729
2026-02-12,1.8698392922722709,1.8039466998799119,1.8345349202177121,1.4938310599730031,1.6422860146923257,1.4512116551926557,0.5108635841887301
2026-02-13,1.997511205531851,1.9264922023051545,1.9657736574686389,1.634471777643394,1.7410198070492147,1.544611544874285,0.5283336237468288
2026-02-17,1.9748102487945969,1.9002156142924218,1.9267746284888807,1.6080456712798605,1.6953487312742734,1.4807321730635754,0.4788419350587301
2026-02-18,1.9862800695512886,1.9057724529779803,1.9484694762557238,1.6088156795303707,1.7432277967251941,1.5141081326806656,0.5090154595905109
2026-02-19,1.9537895222537391,1.8863782244703886,1.9069588336094394,1.5744248649818555,1.6997116101833771,1.4689725585386026,0.4808682976798391
2026-02-20,1.962174690876121,1.8902069376431387,1.899898890420388,1.5514361770130425,1.6612773773964322,1.417175839801845,0.5051769743596428
2026-02-23,2.031150740305892,1.9645385310088337,1.9782792226279338,1.6600135554171183,1.7171980587097186,1.4960910850881828,0.47224923712520056
2026-02-24,2.174726948193651,2.105251240023202,2.112362381717147,1.818908348784599,1.7873265133138299,1.5634411411207216,0.6068406089627629
2026-02-25,2.202205659369451,2.103236561339941,2.111951714552603,1.894407429130646,1.729090051312428,1.4986599905869156,0.6770810386242301
2026-02-26,2.1686555671926615,2.0557054289275167,2.0871078865319643,1.83331669777522,1.7584892033854231,1.5072616641055667,0.6734514694490018
2026-02-27,2.2169755443918002,2.1466883285404212,2.1760318715480134,1.8203164179456095,1.9071246069589538,1.6906024734147387,0.6493366634110731
2026-03-02,2.3079422141610446,2.2047088963586705,2.2467955456795834,1.9208596887438427,1.8922121675171715,1.6648581006780911,0.7396215566904157
2026-03-03,2.150255895996815,2.055007473161234,2.085585268057365,1.7404068636993002,1.738526999693497,1.4893640559704113,0.6046434213240592
2026-03-04,2.315545609930701,2.1708410428361113,2.2159897194806875,1.9097377106818798,1.7652661168516104,1.5441689318768663,0.7446496881310745
2026-03-05,2.287527969190729,2.1467363502297214,2.1992825471953847,1.8641614147987156,1.7412492997540954,1.518129741142989,0.781944002682109
2026-03-06,2.1341454121095627,2.0284915158851407,2.0669955869795116,1.7798493372207034,1.6600971497124963,1.4444761116235703,0.6486219473690727
2026-03-09,2.3400007997780707,2.205086574514259,2.232463696148439,1.9876013930840082,1.7121895781800995,1.5143438506757942,0.7937121130313702
2026-03-10,2.300877053865718,2.1634772225380074,2.1815114164329423,1.951831524054927,1.6350097116704227,1.4632389005654534,0.7523297068941852
2026-03-11,2.381629478626651,2.2216805567971614,2.237641399717362,2.057743493595759,1.6395243082449167,1.4730702839739398,0.9051651815178818
2026-03-12,2.355904564321118,2.240382018239584,2.255557192234237,2.042685313276519,1.7650611194460193,1.5839397739329604,0.8606547146033848
2026-03-13,2.3233149971295206,2.246796951091825,2.2528742441063088,1.9748103504826564,1.8144548347357758,1.6155635630440226,0.8003031457229773
2026-03-16,2.4034718245934314,2.3135529345403656,2.3052194982549707,2.062137140638585,1.785983511953716,1.6200985588069834,0.93413896582651
2026-03-17,2.312595611525488,2.2145969571806754,2.216128328941439,1.9407379862984935,1.7585641165413106,1.5530367040075341,0.8363037254136202
2026-03-18,2.096153284569214,1.9630357508387788,1.9602967152539923,1.773582340809831,1.4601046239847681,1.2428001074781279,0.7236527121529381
2026-03-19,2.110069948456111,1.9642998513366097,1.9535850476485226,1.8146933825753493,1.4385189298909657,1.2069945973187135,0.7688057903187812
2026-03-20,1.9419638261877967,1.810564480304951,1.8042513822229644,1.6802828770716995,1.376772515526921,1.144945342834479,0.6240535433666
2026-03-23,2.0043713664081624,1.8664615170688716,1.8655912971466821,1.7067956614382023,1.397379289074009,1.1811961873072387,0.6982850992028744
2026-03-24,2.0847717786055235,1.9406174223261106,1.9416033343276178,1.7649158888984118,1.4754284124864214,1.2464458575151605,0.6730458521785757
2026-03-25,2.0090526999631786,1.8582656776980688,1.865817527683348,1.656711302054761,1.430045375246022,1.1958768763533316,0.6082992886853911
2026-03-26,1.9119960648476448,1.7730644443103827,1.7906548961705953,1.577664060295437,1.39185859678737,1.1784103721529502,0.5009777444980278
2026-03-27,1.9221842297660692,1.755931729265596,1.7768499029247755,1.7012900642914082,1.3083794031641665,1.1414877947632192,0.4693293444696379
2026-03-30,1.8901100552511172,1.7366825506236743,1.7564207626438686,1.7257693025043392,1.2992332527662374,1.1713893273802667,0.4659150052236005
2026-03-31,2.0824614537020842,1.9099313481037232,1.926532313856396,1.8544467759491454,1.3914194896931875,1.2553251062869204,0.7299146386063127
2026-04-01,2.0881650864765944,1.8707555417285382,1.8984150397234896,1.944450753670397,1.3183591908768275,1.1591211631198337,0.738734720973646
2026-04-02,2.090177991404741,1.8831279456988683,1.914653201912759,1.9331609540741104,1.4029607617196438,1.2171341919566625,0.7244518275046348
2026-04-06,2.056079091202584,1.8607332581705716,1.8878688255588294,1.8900841774866781,1.4154445913229665,1.2071137893613155,0.7122597818105149
2026-04-07,2.3412530125823765,2.069797222321458,2.094651116732018,2.069554723084005,1.4153760124180583,1.1802738273528959,1.01817402916851
2026-04-08,3.1287680450280457,2.9597738787101626,2.952046718614131,2.7256505201593617,2.2166308747995704,1.9367677297302253,1.5805388064337738
2026-04-09,3.148345785681627,3.004362535375804,2.99540268359871,2.753179101081007,2.3104504652540148,2.0409616303076956,1.6311279875374374
2026-04-10,3.208401121820047,3.0350977565137103,3.0280921507193304,2.776589055801915,2.2650257219208765,2.003782022014199,1.727009596079547
2026-04-13,3.1048639864675893,2.9126016115831184,2.884930043395186,2.609431127242958,2.052811876636194,1.7669869651813555,1.4724973588827828
2026-04-14,3.342554058857544,3.0796638954665503,3.0420604366722523,2.817015218618318,2.075919353394615,1.7356805858504218,1.8678419121696104
2026-04-15,3.1911688012206914,2.9310703828331164,2.877201698205688,2.663585832733381,1.9104402363043753,1.5595695136030456,1.8044795510816518
2026-04-16,3.1056217954000505,2.8450098374862556,2.794405457811622,2.5813319368037333,1.8506914211271477,1.494779986367494,1.7666413858452037
2026-04-17,3.2222896431320884,2.962579530407771,2.910902976237287,2.701431291394177,1.9127145013106033,1.5614167865034259,1.864955763483309
2026-04-20,3.368655779114883,3.104264582321994,3.0301525504264406,2.8141345168094176,1.9738155100885282,1.5809835410825541,2.048094396994166
2026-04-21,3.229137294099926,2.931742335020582,2.853707261295868,2.706548106202978,1.7782891043125073,1.3658076627814626,1.9862027405239973
2026-04-22,3.516166891274812,3.243961610358144,3.1117564914565086,2.935026584251934,1.9188235541119862,1.5276390673752265,2.2822845163052463
2026-04-23,3.4393792130463647,3.1719295510682795,3.0393089532523234,2.878467385469255,1.8498462836609453,1.4619923342037795,2.089790730811504
2026-04-24,3.2714320028971042,2.990728440704555,2.8864430986308496,2.771489856320994,1.8352871699649824,1.4588803253687153,2.03374124938934
2026-04-27,3.0733693173266667,2.7617892359687124,2.6519919605773756,2.6751549807389736,1.6207663913198695,1.2107348087653138,1.9050090336307979
2026-04-28,3.0173225251320748,2.756224070439663,2.6480139940380516,2.5439631623922456,1.635993205280681,1.2707110031892521,1.8068641316294343
2026-04-29,3.0074560947613818,2.7426594667551427,2.6225505887568534,2.5431485720637106,1.6067002298908344,1.2020731913172162,1.7985905238727948
2026-04-30,3.0975954845301694,2.8341860166244683,2.7089965931064883,2.655152270405254,1.6280163367738727,1.253610312025142,1.830767504731702
2026-05-01,3.092055443279974,2.8320843798661515,2.7142253623648434,2.673152834080414,1.6766936395532939,1.3140107249958197,1.8730566437321081
