rebalance_date,method,ticker,weight
2023-12-29,cvar_bootstrap,MRNA,0.038040252396448634
2023-12-29,cvar_bootstrap,AAPL,0.0
2023-12-29,cvar_bootstrap,EA,0.0915231589745411
2023-12-29,cvar_bootstrap,STLD,0.0
2023-12-29,cvar_bootstrap,MCK,0.06505592645735868
2023-12-29,cvar_bootstrap,LLY,0.09999999999999992
2023-12-29,cvar_bootstrap,MSI,0.0
2023-12-29,cvar_bootstrap,HCA,0.0
2023-12-29,cvar_montecarlo,PM,0.04382066983428058
2023-12-29,cvar_montecarlo,TGT,0.0
2023-12-29,cvar_montecarlo,COST,0.05200037164352822
2023-12-29,cvar_montecarlo,KR,0.1
2023-12-29,cvar_montecarlo,IRM,0.008895682921885747
2023-12-29,cvar_montecarlo,MCD,0.1
2023-12-29,cvar_montecarlo,TMUS,0.0644342363239905
2023-12-29,cvar_montecarlo,CBOE,0.1
2023-12-29,cvar_montecarlo,PGR,0.1
2023-12-29,cvar_montecarlo,STX,0.0
2023-12-29,cvar_montecarlo,NEM,0.1
2023-12-29,cvar_montecarlo,NVDA,0.0
2023-12-29,cvar_montecarlo,VRT,0.0
2023-12-29,cvar_montecarlo,TKO,0.020561536913566412
2023-12-29,cvar_montecarlo,SW,0.09408189308584272
2023-12-29,cvar_montecarlo,PWR,0.0088649966362388
2023-12-29,cvar_montecarlo,HWM,0.0
2023-12-29,cvar_montecarlo,MRNA,0.015520691301918417
2023-12-29,cvar_montecarlo,AAPL,0.0
2023-12-29,cvar_montecarlo,EA,0.09852011928322509
2023-12-29,cvar_montecarlo,STLD,0.0
2023-12-29,cvar_montecarlo,MCK,0.014144597569946963
2023-12-29,cvar_montecarlo,LLY,0.07915520448557653
2023-12-29,cvar_montecarlo,MSI,0.0
2023-12-29,cvar_montecarlo,HCA,0.0
2024-01-31,equal,PM,0.04
2024-01-31,equal,TGT,0.04
2024-01-31,equal,COST,0.04
2024-01-31,equal,KR,0.04
2024-01-31,equal,IRM,0.04
2024-01-31,equal,MCD,0.04
2024-01-31,equal,TMUS,0.04
2024-01-31,equal,CBOE,0.04
2024-01-31,equal,PGR,0.04
2024-01-31,equal,STX,0.04
2024-01-31,equal,NEM,0.04
2024-01-31,equal,NVDA,0.04
2024-01-31,equal,VRT,0.04
2024-01-31,equal,TKO,0.04
2024-01-31,equal,SW,0.04
2024-01-31,equal,PWR,0.04
2024-01-31,equal,HWM,0.04
2024-01-31,equal,MRNA,0.04
2024-01-31,equal,AAPL,0.04
2024-01-31,equal,EA,0.04
2024-01-31,equal,STLD,0.04
2024-01-31,equal,MCK,0.04
2024-01-31,equal,LLY,0.04
2024-01-31,equal,MSI,0.04
2024-01-31,equal,HCA,0.04
2024-01-31,inverse_volatility,PM,0.05229278445385427
2024-01-31,inverse_volatility,TGT,0.038288116501683116
2024-01-31,inverse_volatility,COST,0.05665797549977159
2024-01-31,inverse_volatility,KR,0.045835883408387824
2024-01-31,inverse_volatility,IRM,0.04193212248568132
2024-01-31,inverse_volatility,MCD,0.05837976219885566
2024-01-31,inverse_volatility,TMUS,0.04840027502434655
2024-01-31,inverse_volatility,CBOE,0.04813113380247858
2024-01-31,inverse_volatility,PGR,0.048706045784012254
2024-01-31,inverse_volatility,STX,0.034878797726774546
2024-01-31,inverse_volatility,NEM,0.03878608252172952
2024-01-31,inverse_volatility,NVDA,0.025956381118134045
2024-01-31,inverse_volatility,VRT,0.025825368704049164
2024-01-31,inverse_volatility,TKO,0.033497824192360685
2024-01-31,inverse_volatility,SW,0.027884887642007944
2024-01-31,inverse_volatility,PWR,0.03782519478320482
2024-01-31,inverse_volatility,HWM,0.03123205045263485
2024-01-31,inverse_volatility,MRNA,0.01796422120826703
2024-01-31,inverse_volatility,AAPL,0.04165233157897814
2024-01-31,inverse_volatility,EA,0.045260179808257736
2024-01-31,inverse_volatility,STLD,0.030213244366915054
2024-01-31,inverse_volatility,MCK,0.04569498402184116
