ticker_1,ticker_2,distance
NEE,AES,1.0183773628239365
BLK,TROW,0.7177196261601035
BLK,MCO,0.892150774491343
PM,MO,0.8791656663598946
DHR,WST,0.905440655074664
VLO,MPC,0.5459461926514619
VLO,PSX,0.6042873384787981
UNP,NSC,0.60450546940902
UNP,ITW,0.8719967059513801
ADP,PAYX,0.603588804435554
ADP,CTAS,0.8885093247238198
ADP,BRO,0.9039595620957758
MDT,SYK,0.8359167382324876
DAL,UAL,0.5088329572069119
DAL,LUV,0.7195136925244701
UAL,CCL,0.8137205585284096
SBUX,YUM,0.9784702920807129
RCL,CCL,0.5372892440637413
RCL,MAR,0.8525471337003996
MCK,COR,0.6690823654059698
VST,NRG,0.7812393746911482
KKR,APO,0.7238500345778418
KKR,ARES,0.75760770645576
TJX,ROST,0.7058458567678669
TJX,GPC,0.9738850970235586
F,GM,0.664589681869975
CCL,NCLH,0.4894229838064038
SYK,ZBH,0.8212662088613341
SYK,COO,0.9157710877260146
SYK,STE,0.9161633610241094
SYK,HCA,1.0144604964234603
CME,ICE,0.9525104320488821
CME,CBOE,1.0360625872643126
SATS,CFG,1.051638828042529
MCHP,NXPI,0.5613540425492847
MCHP,ON,0.5767653560504516
PH,EMR,0.7089749834866881
PH,DOV,0.7141696917058086
PH,IR,0.7376023181841405
PH,AME,0.7397855221649522
PH,URI,0.7466941389682124
PH,WAB,0.7700034423903405
PH,TXT,0.8081975988973561
PH,AMP,0.8087437071734616
PH,CRH,0.8813689794234776
WBD,PSKY,0.8385073816151384
TGT,BBY,0.9669066740694324
TGT,DLTR,1.0299713141261322
EOG,DVN,0.5898306203003942
LOW,MAS,0.8235831548934064
LOW,BBY,0.9432812103008372
NXPI,SWKS,0.701706719749423
NXPI,TEL,0.7859468485153528
DVN,FANG,0.5846465109871001
DVN,APA,0.6085124947662487
DVN,HAL,0.6921693584970463
DVN,TRGP,0.7900235676974606
DVN,CTRA,0.8946029277092021
FDX,UPS,0.8117935745106333
UPS,EXPD,0.9352827414848215
FIX,EME,0.7123918149227061
FIX,PWR,0.7957616783178328
EQIX,DLR,0.7329022735405023
EQIX,AMT,0.9083510109355281
EQIX,PLD,0.9179837242323049
WELL,VTR,0.615598781601651
MCO,MSCI,0.7632401384040288
MCO,NDAQ,0.853111919674024
MCO,EFX,0.8870954804312178
MCO,BR,0.8885634793350475
VRTX,REGN,0.9837491445643376
VRTX,INCY,1.0296510112253408
PGR,ALL,0.8545450474292461
ELV,CNC,0.8161856530074907
ELV,CI,0.8527976661249153
MMM,ITW,0.8638911963386087
CVS,CI,0.9264736318007403
FANG,TPL,0.9389859714360038
CRH,VMC,0.8272452260277435
HWM,TDG,0.8818554948952149
HWM,TXT,0.885854648080778
BKR,HAL,0.7297146549449457
ICE,NDAQ,0.8440892119482288
GM,APTV,0.8537818548294408
TT,JCI,0.7581169672274033
HLT,MAR,0.5080395168038804
HLT,LYV,0.9581945953693898
AZO,ORLY,0.6779489349939618
EXPE,MAR,0.8455914593462799
SHW,MAS,0.8284824696453816
AMT,CCI,0.5978290153585726
AMT,SBAC,0.6316373878530771
AMT,AWK,0.9334209779479153
NOC,LHX,0.8010869290292155
CB,TRV,0.6350935668044468
CB,ACGL,0.7798968440579382
MDLZ,HSY,0.8753856445552686
MDLZ,GIS,0.8937246350762588
MDLZ,MKC,0.9215142892829385
MAR,HST,0.8108903409702092
MAR,MGM,0.8630869168959646
HAL,LYB,0.9327255036772524
HCA,UHS,0.7172837016610264
CF,MOS,0.7926396638683689
MRSH,AJG,0.6984234299263617
